番号,品番,品名,希望小売価格,税込,品番,分解図,備考,削除
27,ZKM87W,ソケットセット,8250,8663,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
28,Z403,水抜きスピンドル,490,515,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
1,PZK1ED-2,EDハンドルセット,990,1040,KF40N2(WZ),KF40N2(WZ)_B.png,,
2,PZK3ED-2,キャップセット(湯･水),280,294,KF40N2(WZ),KF40N2(WZ)_B.png,,
3,ZK3A-16,丸小ねじ,110,116,KF40N2(WZ),KF40N2(WZ)_B.png,,
4,PZK127,水栓上部パッキンセット,190,200,KF40N2(WZ),KF40N2(WZ)_B.png,,
5,PZK75-13MN,スピンドルセット,490,515,KF40N2(WZ),KF40N2(WZ)_B.png,,
6,PZK4JE4-15,KV式節水こま(水側)(2ヶ入),380,399,KF40N2(WZ),KF40N2(WZ)_B.png,,
7,PZK4E-15,こま(湯側)(2ヶ入),270,284,KF40N2(WZ),KF40N2(WZ)_B.png,,
8,PZKF4GN,シャワー切替レバー部一式,3100,3255,KF40N2(WZ),KF40N2(WZ)_B.png,,
9,PZKF74N,シャワー切替レバー(ビス付),840,882,KF40N2(WZ),KF40N2(WZ)_B.png,,
10,Z250,切替ボンネット,2640,2772,KF40N2(WZ),KF40N2(WZ)_B.png,,
11,PZ42,パッキンセット,260,273,KF40N2(WZ),KF40N2(WZ)_B.png,,
12,ZK121-13,Xパッキン,110,116,KF40N2(WZ),KF40N2(WZ)_B.png,,
13,PZK81-17,吐水口,1370,1439,KF40N2(WZ),KF40N2(WZ)_B.png,,
14,ZKM87,ソケットセット,6330,6647,KF40N2(WZ),KF40N2(WZ)_B.png,,
15,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KF40N2(WZ),KF40N2(WZ)_B.png,,
16,ZKF1,送り座,540,567,KF40N2(WZ),KF40N2(WZ)_B.png,,
17,ZKF80,シャワーホース接続パッキン,80,84,KF40N2(WZ),KF40N2(WZ)_B.png,,
18,ZKF91N,逆止弁,280,294,KF40N2(WZ),KF40N2(WZ)_B.png,,
,寒冷地用(KF40N2WZ),,,,KF40N2(WZ),KF40N2(WZ)_B.png,,
19,PZK75JK-13MN,ビス止スピンドルセット(水側),600,630,KF40N2(WZ),KF40N2(WZ)_B.png,,
20,PZK75K-13MN,ビス止スピンドルセット(湯側),570,599,KF40N2(WZ),KF40N2(WZ)_B.png,,
21,PZK4KJE4-15,ビス止用節水パッキンセット(水側)(2ヶ入),350,368,KF40N2(WZ),KF40N2(WZ)_B.png,,
22,PZK4K-15,ビス止用こまパッキンセット(湯側)(2ヶ入),300,315,KF40N2(WZ),KF40N2(WZ)_B.png,,
23,ZKM87W,ソケットセット,8250,8663,KF40N2(WZ),KF40N2(WZ)_B.png,,
24,Z403,水抜きスピンドル,490,515,KF40N2(WZ),KF40N2(WZ)_B.png,,
1,PZK1GL-2,GLハンドルセット,1110,1166,KF50NC・KM50NC,KF50NC_B.png,,
2,PZK3GL-2,キャップセット(湯･水),280,294,KF50NC・KM50NC,KF50NC_B.png,,
3,ZK3A-16,丸小ねじ,110,116,KF50NC・KM50NC,KF50NC_B.png,,
4,Z218K,ビス止スピンドルセット,740,777,KF50NC・KM50NC,KF50NC_B.png,,
5,PZK127,水栓上部パッキンセット,190,200,KF50NC・KM50NC,KF50NC_B.png,,
6,PZKF74N,シャワー切替レバー 白(ビス付),840,882,KF50NC・KM50NC,KF50NC_B.png,,
7,ZKF58G,切替弁ユニット,1800,1890,KF50NC・KM50NC,KF50NC_B.png,,
8,ZK121-13,Xパッキン,110,116,KF50NC・KM50NC,KF50NC_B.png,,
9,PZ42,パッキンセット,260,273,KF50NC・KM50NC,KF50NC_B.png,,
10,PZK80-17,吐水口,1370,1439,KF50NC・KM50NC,KF50NC_B.png,,
11,ZK1SLNC,給止水レバーハンドル 白(ビス付),950,998,KF50NC・KM50NC,KF50NC_B.png,,
12,ZKF116SLN,給止水弁ユニット,2000,2100,KF50NC・KM50NC,KF50NC_B.png,,
13,ZKF66JY,シャワーエルボ,2340,2457,KF50NC・KM50NC,KF50NC_B.png,,
14,ZKF91N,逆止弁,280,294,KF50NC・KM50NC,KF50NC_B.png,,
15,ZKF80,シャワーホース接続パッキン,80,84,KF50NC・KM50NC,KF50NC_B.png,,
16,ZKF1,送り座,540,567,KF50NC・KM50NC,KF50NC_B.png,,
17,ZKF60SLN,流量調節止水弁,740,777,KF50NC・KM50NC,KF50NC_B.png,,
18,PZKF191,水抜きスピンドル,470,494,KF50NC・KM50NC,KF50NC_B.png,,
1,PZK1W85S-3,ハンドルセット,1320,1386,KF51C3・KM51C3,KF51C3_B.png,,
2,ZK3W85S-2,キャップセット(湯･水),630,662,KF51C3・KM51C3,KF51C3_B.png,,
3,ZK3A-16,丸小ねじ,110,116,KF51C3・KM51C3,KF51C3_B.png,,
4,Z218K,ビス止スピンドルセット,740,777,KF51C3・KM51C3,KF51C3_B.png,,
5,PZK127,水栓上部パッキンセット,190,200,KF51C3・KM51C3,KF51C3_B.png,,
6,ZKF114,エアー抜き付逆止弁,2580,2709,KF51C3・KM51C3,KF51C3_B.png,,
7,ZKF118N,給湯源切替ハンドル(ビス付),1090,1145,KF51C3・KM51C3,KF51C3_B.png,,
8,Z44542,切替ボンネット,5130,5387,KF51C3・KM51C3,KF51C3_B.png,,
9,ZKF119N,ソーラー用切替ハンドル(ビス付),1500,1575,KF51C3・KM51C3,KF51C3_B.png,,
10,Z44543,切替ボンネット,3650,3833,KF51C3・KM51C3,KF51C3_B.png,,
11,PZKF74N,シャワー切替レバー(ビス付),840,882,KF51C3・KM51C3,KF51C3_B.png,,
12,ZKF58G,切替弁ユニット,1800,1890,KF51C3・KM51C3,KF51C3_B.png,,
13,PZ511-15,吐水口,2310,2426,KF51C3・KM51C3,KF51C3_B.png,,
14,Z511CP,吐水口先端部一式,2100,2205,KF51C3・KM51C3,KF51C3_B.png,,
15,PZ511CP3,整流器キャップセット,950,998,KF51C3・KM51C3,KF51C3_B.png,,
16,ZK121-13,Xパッキン,110,116,KF51C3・KM51C3,KF51C3_B.png,,
17,PZ42,パッキンセット,260,273,KF51C3・KM51C3,KF51C3_B.png,,
18,PZKF66J,シャワーエルボ,2090,2195,KF51C3・KM51C3,KF51C3_B.png,,
19,ZKF80,シャワーホース接続パッキン,80,84,KF51C3・KM51C3,KF51C3_B.png,,
20,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KF51C3・KM51C3,KF51C3_B.png,,
21,PZ573,逆止弁,820,861,KF51C3・KM51C3,KF51C3_B.png,,
22,ZKM38,ソケットセット,10200,10710,KF51C3・KM51C3,KF51C3_B.png,,
23,ZKF1,送り座,540,567,KF51C3・KM51C3,KF51C3_B.png,,
24,PZKF191,水抜きスピンドル,470,494,KF51C3・KM51C3,KF51C3_B.png,,
,KM51C3仕様,,,,KF51C3・KM51C3,KF51C3_B.png,,
25,PZ525-15,吐水口,4730,4967,KF51C3・KM51C3,KF51C3_B.png,,
